,model_names,presicion_micro,presicion_macro,presicion_weighted,recall_micro,recall_macro,"recall,weighted",F1_micro,F1_macro,"F1,weighted"
0,LR,0.6223404255319149,0.6223404255319149,0.6223404255319149,0.6143459979090349,0.6125190936672793,0.6090316339128432,0.6216061949235868,0.6223404255319149,0.6174000680965879
1,KNN,0.8962765957446809,0.8962765957446809,0.8962765957446809,0.8929197281433895,0.8874314188351936,0.8896472307594158,0.8959220341155182,0.8962765957446809,0.8955276211273991
2,DT,0.9228723404255319,0.9228723404255319,0.9228723404255319,0.9245549650603838,0.9208832569353859,0.921888809053633,0.9248569585877894,0.9228723404255319,0.9229872029880749
3,RF,0.9335106382978723,0.9335106382978723,0.9335106382978723,0.9332277856618628,0.9270443510809762,0.9289974922393512,0.9360747033166221,0.9335106382978723,0.9338023094256431
4,NB,0.598404255319149,0.598404255319149,0.598404255319149,0.632826104005506,0.6178460722556891,0.5995270477093543,0.6582680865390981,0.598404255319149,0.6000601049368014
5,SVC,0.6968085106382979,0.6968085106382979,0.6968085106382979,0.700077624569976,0.6818790087608199,0.6788062836711451,0.7066319442587123,0.6968085106382979,0.6905007018218431
